family,model_label,assay_id,split,evaluated_rows,train_rows,test_rows,spearman,pearson,rmse,mae
tabular,ridge,SPG1_STRSG_Olson_2014,random,53697.0,429569.0,53697.0,0.9611295352381256,0.9268247835966598,0.8090176322587305,0.5876027178869264
tabular,ridge,SPG1_STRSG_Olson_2014,single_to_multi,535917.0,1045.0,535917.0,0.9583620682919956,0.9139915752024484,1.5894983224440669,1.223788910228416
tabular,ridge,SPG1_STRSG_Olson_2014,low_to_high_k1,535917.0,1045.0,535917.0,0.9583620682919956,0.9139915752024484,1.5894983224440669,1.223788910228416
tabular,ridge,SPG1_STRSG_Olson_2014,low_to_high_k2,,536962.0,0.0,,,,
tabular,ridge,SPG1_STRSG_Olson_2014,seen_marginal_unseen_combo,535917.0,1045.0,535917.0,0.9583620682919956,0.9139915752024484,1.5894983224440669,1.223788910228416
tabular,ridge,SPG1_STRSG_Olson_2014,epistasis_enriched,107184.0,1045.0,107184.0,0.7976365570970987,0.6971123012976227,2.232639430128444,1.950941536325936
tabular,ridge,SPG1_STRSG_Olson_2014,distance_controlled,,1045.0,0.0,,,,
tabular,ridge,YAP1_HUMAN_Araya_2012,random,1000.0,8060.0,1008.0,0.7949523112614532,0.7186961272887818,0.6093263238728556,0.3676000145903855
tabular,ridge,YAP1_HUMAN_Araya_2012,single_to_multi,8669.0,362.0,9713.0,0.7522461880536881,0.6834937306682148,0.6420686758403416,0.4262106892295597
tabular,ridge,YAP1_HUMAN_Araya_2012,low_to_high_k1,8669.0,362.0,9713.0,0.7522461880536881,0.6834937306682148,0.6420686758403416,0.4262106892295597
tabular,ridge,YAP1_HUMAN_Araya_2012,low_to_high_k2,,10075.0,0.0,,,,
tabular,ridge,YAP1_HUMAN_Araya_2012,seen_marginal_unseen_combo,8669.0,362.0,8669.0,0.7522461880536881,0.6834937306682148,0.6420686758403416,0.4262106892295597
tabular,ridge,YAP1_HUMAN_Araya_2012,epistasis_enriched,1734.0,362.0,1734.0,0.782606679430294,0.4654685488131229,0.962046754033202,0.6347683027679738
